event_slug,title,category,tags,end_date,days_to_end,start_date,num_markets,open_markets,volume_24h,volume_total,liquidity,open_interest,competitive,comment_count,sub_market_slugs,condition_ids,description,polymarket_url
next-bosniak-president-of-bosnia-and-herzegovina,Next Bosniak President of Bosnia and Herzegovina?,elections,bosnia-and-herzegovina|main-election|elections|global-elections,2026-10-04T00:00:00Z,136,2026-05-12T23:58:43.074211Z,29,29,25.69,12361.82,20939.33,2975.94,1.000,1,will-semir-efendi-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-bakir-izetbegovi-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-c-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-e-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-g-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-i-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-k-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-m-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-o-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-q-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-s-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-u-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-w-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-y-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-denis-beirovi-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-another-candidate-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-b-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-d-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-f-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-h-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-j-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-l-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-n-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-p-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-r-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-t-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-v-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-x-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-z-be-the-bosniak-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election,0x1d574625cdeabb37452dad978ae59587ca7a004fe84d372b11f3197de2f3f1e8|0x648232495a85b771c95b25799bb47c11810c11c8d0c56300d0ffbb50436bcc06|0x1c0092b5277c4aee4f3d6af6b714f708cbd806d9f59ce02e9b699f30bba8c8bf|0x404cdf5a8812b14443b3697fce43e0340732bcd17267b82cec1c8ce52290ee51|0x106ec7988b7aa0b390676ad6c6082a4db56bd6ed6487564c9c914b80fbd63d6c|0x9a87c9fa9a94bddc0cf476394125519460746b2f36af7b106ce4f1d34433d276|0x5c400dee1caf7df424878ab58516472405e1e88426f3f7fe6b561e7e27c2ddde|0xe439f9d2a7fda44537e5bae0b5e2e6429f875d2acdcebe622244b96a20f8e2e7|0x06a9cc551d50c11802206d133991aa4df0555a006368b64d9c025803e3298f6b|0xc38d3d1802bcb97b80dd3014f7d420d5bbc23cd6abacf3ea988532d148d16789|0x431b8f0bdd6555d6c9e24b168143a5210d0d8faccca7419b7188ff4c0315b2bd|0x875a7528d8ee754c1f142082ef8ffc8524d9ac4f1507cfb5ce34cd69448a5724|0xd4e6e3d1a6cc9d2e9c721cfa2f333e0de08841645db0b565716e18c7e2ca0f8c|0xe4b66d7c4c873d77e19be9abc9cc6a6697d3e6091a4dbd2cb7d2872bbd1c8b4e|0xebc5b3358c646e7c0398954e3e78f5cf2d733e713c663ac40800b37785763013|0xa55704c6a43efa5e57552ae4a91e3a1817873988c73c8760bd14a1e4316982ac|0x55d1fb96f9299c5d443ab6d83bb25569c834a68034fa7578bd23df273ea35185|0x4481e07ed564456e363d5c813c6b3712ea0df65e391af5a39021296962a1ce9a|0x4b43892eaf831ee19c6380e5b4abe28b5fed68fc451c559eef4b77582a26a3bf|0x12d0c76df2925d5d8fca8937eb1271afc60fbdc71fc6cc23fbb32c3750eccb8b|0xbf338b3c46e0ff4bb00fa0b74334d02a7562b4949026a30ce86491bf5700fb3a|0x6072c03c58238743125121d87154b696ff745b41ab1d1c443f3a269b6b5aa95a|0xd4feb265e7b790ea31dc6cb4f7b911930fc98a13f8567c68973eb1e899ff048e|0xa15bdcdc213f9472d5aa58a9ff1add4e686954d9440d6ab524d1478cbc05aa07|0x524fb0864f7d5c239f59d9a24a489913c1bc0c01930f1610aa57a54d2fe22101|0x0b8f84cbe0d3dadfe0d46a4761a07857bf4f908cb60aa8f3326cffcd6f9df900|0xc3a3121da7848fd3c44a0ea5884ff9b686a8afa16e95539d830b61570c379065|0x825d68df38d59fd408dabcb3df2413ae5c762138cd923c8b21e1ebf20554471c|0xd7349ec4725a80cd846964e8f068bc7ad6bdbf1f3b8c83cfd8cf015d8c4b450d,"The Presidency of Bosnia and Herzegovina is a three-member collective head of state, consisting of one Bosniak member, one Croat member, and one Serb member. The Bosniak and Croat members are elected from the Federation of Bosnia and Herzegovina, while the Serb member is elected from Republika Srpsk",https://polymarket.com/event/next-bosniak-president-of-bosnia-and-herzegovina
next-croat-president-of-bosnia-and-herzegovina,Next Croat President of Bosnia and Herzegovina?,elections,main-election|elections|bosnia-and-herzegovina|global-elections,2026-10-04T00:00:00Z,136,2026-05-13T00:02:28.871055Z,30,30,341.00,2312.72,19320.64,656.31,1.000,0,will-darijana-filipovi-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-slaven-kovaevi-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-zdenko-lui-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-another-candidate-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-a-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-b-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-c-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-d-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-e-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-f-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-g-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-h-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-i-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-j-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-k-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-l-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-m-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-n-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-o-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-p-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-q-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-r-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-s-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-t-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-u-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-v-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-w-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-x-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-y-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-z-be-the-croat-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election,0x0520a29011c556ff376fd6b20660a188cfa87a57cbd6741d8eeb953e07d39b20|0x7f100b8c32a32980883af631bec8dc97753cd3a7349eb1b3e17b34104ecb87c0|0xac14c71f1ad54bee6fb4cb8374cc0c1f86862444f7f9e62efa769d42ca010be5|0x4aa8a88be2dc80e5b27824eaf2042e988861be6902316d522862eb8164cefdd6|0xb582c2917df7112287efc309c9d311366ecbb54afacd7ad669ed13c07e52e943|0x31129102b038a177a2dcca2a3ab15f3c41f0b43a429470b02ff15d278552071e|0xd671aa59f9736a22df7aab5650f62f34c62200b198b0ee56915ac7ed2f5cd325|0x2fb0d32d6f75f982f5f9d9a4bb9e86809cdf26fb65827c86c519ccdc074563e6|0x2957410b42708c97846106edbbe1e65713b66fa97575994122b461a0862e9ec8|0x9d50cec0f949907da350a51943b31c7646602f605f904f43c6fd2a11770c6482|0x4f16f712b725af7dfe711a700c2408bb8c1c28749341ca2676215e6f3c5d49d8|0x7796ce5f2019fe44ebf1db1fa4a8d130e7426ebcc1ad0e00b5803486efc57fa1|0x313724852c4796c9a81c454cdeb22c39a8fe9f596feb04995587ad895bcbe946|0x2fac4768bc0bb23600443c8fa5f12ae4defa2cdabf43412347325ccdd811d152|0x0520b5abed69ad579280f257b496e1d9060fdb4b495c43e084a59e6a6c49a0fb|0xc934c5de49fdfb2e0abcb6720c3a1a00e906ed9679da443cf900b978f016616c|0x29d9be91f6b08aa50c45e48b572ff31dfd7a35af8de886d8e7636918359aeda4|0x0fce2cc64059c26e14aea3f839787b3aaa2387ff383e3abde0504fbb45244515|0xd84a1329a50589380ea57de85367079239e34dc6c98c41a10f9bd55a86eae81d|0x0bf0efaab5ed465ace791fda419978017349bf605e5bc8a084a060575b1072e0|0x38ab193ec892ca55e50e81cae54d7b9a69f700617004323cf303b1037e6d727d|0x8abd589fb6e020a8ad3e2d6621dd29e61cc596d2baaaa1f5dfa033e8d8138a61|0xc4c4912d5108a61f59b9760a8174c9e4701b0c1d0b7ffa3dd63ea246b3837652|0x69b969b218b90fc882f9c2a346006147bb4d5ceb49048cbed758026f5ac5debf|0x9cde3baddbb9733cd77964110498dd50a1924bbde481c965951f3be4ab0e1ddb|0xee62ae4102bee3618bb3a615aa3f1de096d53175e1024b2f4811c49b1ae5754e|0xeb0cfa2f72450407390baffdb0f2bb962d2517d4d79f3969335cd1ad6503e121|0x0e851eb0c2b411bd66e5e64b91d9e157e0d57c55320eefa1d41eefbdb4704568|0xc6c72d768e74ce05d230dfeac40245477c32151f7b243a5f1ab47bc2d219b343|0x885ea30d243114b120cc6a4cbdec5b47e9e022eb352dd8577f35064dd530736a,"The Presidency of Bosnia and Herzegovina is a three-member collective head of state, consisting of one Bosniak member, one Croat member, and one Serb member. The Bosniak and Croat members are elected from the Federation of Bosnia and Herzegovina, while the Serb member is elected from Republika Srpsk",https://polymarket.com/event/next-croat-president-of-bosnia-and-herzegovina
next-serb-presidency-member-of-bosnia-and-herzegovina,Next Serb Presidency Member of Bosnia and Herzegovina?,elections,main-election|elections|global-elections|bosnia-and-herzegovina,2026-10-04T00:00:00Z,136,2026-05-13T00:02:28.476686Z,32,32,75.00,16326.51,29051.64,1273.79,0.939,1,will-neboja-vukanovi-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-branko-blanua-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-sinia-karan-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-a-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-c-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-e-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-g-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-i-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-k-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-m-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-o-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-q-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-s-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-u-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-w-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-y-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-eljka-cvijanovi-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-drako-stanivukovi-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-another-candidate-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-b-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-d-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-f-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-h-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-j-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-l-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-n-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-p-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-r-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-t-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-v-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-x-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election|will-candidate-z-be-the-serb-presidency-member-of-bosnia-and-herzegovina-following-the-2026-general-election,0x5d146e8846f26247a92e79c3c3d7a8bc6b0495e16511978c8b15f69c28af6295|0xb6a88fee585e560ade9de53f4415572c2d0988cb66a7d2d379a92f1ae1c22c79|0x081605b578bfdc25e47f583425e2a73392caff6a72d384ec440910e9814d254a|0x733d2b2ba5a869430806d45f5623b8b1e5c0eee0ce9ac98135e35be47df071d6|0x5be0c55f4e656bb29fe0d9727b3d200cd3c0fcd51dff4a779ec105f600685dca|0xe66a0d801160c4b7d618e93a5fcf09a68dcfdc1c1852d235ca70a308a8851899|0x157271c27a48618ce4e9def16001b312bd5b7067c769e11ef8d1373a88e291ed|0x37f907dd58f4570197e10089cd3b7af730e65322feef5509ce17e78522441922|0x62c8537ffcfe9fbbb57fd02c387ccfa2337e0ad42c96153267e672bf7594f32a|0xc0e10f730ee5120aaae0837b8adbdc68fdb7610fa4d62f6ea4403d310de7c955|0x237f8649322cdf499978fe74d8392f7eb8d3035c4e7f1132bd7c196616a33a15|0x0f4d89fe96e87863770e3fcfbb20ce2e8532af46506aadf26cfd9cedb767666b|0x908fc8b3841aed11092410ff61e896db10ed405698ee18f066a2c124f6e5058c|0x12c515c07b144dd2d6379328bf855f64bb47e1298675c0b447c4a60dea382b73|0xc1c6bab49d1ac8eacc19e031d3c852a0d6d3e44c3f486e3ed3f59c812555c19c|0x4c069dd48f2852f43d5b25030e385f2843b8359547e0f901cd0273c82b6d5f8a|0x518e0c0ad7e73956bbf3312e8017e3cabe5cb774ae86f5578eb39c3b38e09b11|0x9e51e71a51935675578bc517b79a62e0fd42f81753eecc391c32611109fd312f|0x984e70b9c0b1c371b9155da63d144ea057b027790bc427972a0cf9c006c7bb5c|0xed16c06dc4897b93c93a77ed0366efcebc96cd7d69ade8b6663f648b2b08cbd5|0xfd21899b575dc3c40583e093936a574b180e2f09d85e43b1c5ce9f47ddfee18b|0x15dadba08e4b126c7b2744d37bd7c4e7b223f1a72b9f6676d8901cc80b449dc6|0xd469c91504d9a93608bb82dd1a66bc1142b3add4586a20a0ee038ac51e6b8a8b|0x0bec34792fa83c615ade70be1f5c2d765774a12a7f556efc237a9f8c58d17428|0xc09ff6a5d3280746ea96ffa6c44539d60f8aaf8605bd5ad6959a16e268af0c7d|0xc64084a047c403067552b965bd37063d04c3c470deca711cb261154112e59ab4|0x1c6dcd41679857d107c4bb918789f6215eb4c533f3c72602314a65bc6710e528|0xb28b2f3a0866620668c9cc9c92ac6df7ff5de2a2f4d43b67966a918cb6869833|0xcf52af3072e64e4ab0557ed41c41c2b967736c23754b4ea9619bf8e55f21b091|0x4d4d427b6cdec634190471fbcf28fca5727791fd5ebf2dfa1345a58792ad566a|0xa0559b8e72a816d000411fd1134f9af11250de531e4b758bdef796faefd3fd00|0xb35af96b372f0a1a5c1d8654db1b888f0e57b0518507ace078d227f1f95e4899,"The Presidency of Bosnia and Herzegovina is a three-member collective head of state, consisting of one Bosniak member, one Croat member, and one Serb member. The Bosniak and Croat members are elected from the Federation of Bosnia and Herzegovina, while the Serb member is elected from Republika Srpsk",https://polymarket.com/event/next-serb-presidency-member-of-bosnia-and-herzegovina
conservatives-flip-liberals-for-canada-seats-polls-in-2026,Conservatives flip Liberals for Canada Seats Polls in 2026?,elections,canada|elections|global-elections,2026-12-31T00:00:00Z,224,2026-03-25T16:59:49.45086Z,1,1,0.00,4645.82,10430.75,1595.84,0.859,0,conservatives-flip-liberals-for-canada-seats-polls-in-2026,0xca68a76a815c6a9588cd69e02df37610b6fc91409fc78faaf444eb1a9b32b185,"This market will resolve to “Yes” if, between the Liberal Party of Canada (LPC) and the Conservative Party of Canada (CPC), the CPC becomes the favorite in the ""338Canada Seat Projection"" (https://338canada.com/federal.htm#projection) at any published data point between market creation and December ",https://polymarket.com/event/conservatives-flip-liberals-for-canada-seats-polls-in-2026
