event_slug,title,category,tags,end_date,days_to_end,start_date,num_markets,open_markets,volume_24h,volume_total,liquidity,open_interest,competitive,comment_count,sub_market_slugs,condition_ids,description,polymarket_url
nocries-signs-for-a-pro-cs2-organization-by-june-30,Nocries signs for a pro CS2 organization by June 30?,esports,esports|cs2|counter-strike-2,2026-06-30T00:00:00Z,40,2025-12-02T00:05:02.28832Z,1,1,0.00,6066.78,1398.80,1661.92,0.956,4,nocries-signs-for-a-pro-cs2-organization-by-june-30,0x3cb1f842d2590ee379ee65dee24838211ff8317a77092f4983806a975f653ea3,"This market will resolve to ""Yes"" if nocries signs with a professional Counter-Strike 2 organization by June 30, 2026, 11:59 PM ET. Otherwise, this market will resolve to ""No"". A professional Counter-Strike 2 organization is any organization that fields a paid Counter-Strike 2 roster in official CS2",https://polymarket.com/event/nocries-signs-for-a-pro-cs2-organization-by-june-30
will-xqc-beat-forsens-minecraft-speedrun-record-by,Will xQc beat Forsen's Minecraft speedrun record by...?,esports,forsen|games|xqc|minecraft|culture|esports|youtube|rewards-automation-50-4-5-50,2026-07-01T00:00:00Z,41,2026-05-09T15:43:32.250824Z,2,2,2874.97,16582.67,2508.81,12029.66,0.847,11,will-xqc-beat-forsens-minecraft-speedrun-record-by-june-30-2026|will-xqc-beat-forsens-minecraft-speedrun-record-by-may-31-2026,0x63d4be41d64774ccc137abac8756d25cca52077cf8d72f0d071ac85fbff9b5d5|0xaddf34d4ece9746951b6f639020ceb4e7998d9a38a3f999445d198afe4105c4f,"This market will resolve to “Yes” if xQc breaks Forsen's In-Game-Time of 14:18.375 in a Minecraft speedrun during a live stream by the listed date, 11:59 PM ET. Otherwise, this market will resolve to “No”. This market may resolve to “No” as soon as it becomes impossible for xQc to complete a qualify",https://polymarket.com/event/will-xqc-beat-forsens-minecraft-speedrun-record-by
lol-lck-2026-season-winner,LCK 2026 Season Winner,esports,lol|esports|league-of-legends,2026-12-31T00:00:00Z,224,2025-11-20T23:26:22.275745Z,37,37,18504.95,3315728.97,80642.89,33075.92,0.983,6,will-kt-rolster-win-the-lck-2026-season-playoffs|will-nongshim-redforce-win-the-lck-2026-season-playoffs|will-t1-win-the-lck-2026-season-playoffs|will-team-d-win-the-lck-2026-season-playoffs|will-team-f-win-the-lck-2026-season-playoffs|will-team-k-win-the-lck-2026-season-playoffs|will-team-p-win-the-lck-2026-season-playoffs|will-team-s-win-the-lck-2026-season-playoffs|will-team-v-win-the-lck-2026-season-playoffs|will-freecs-win-the-lck-2026-season-playoffs|will-team-a-win-the-lck-2026-season-playoffs|will-team-e-win-the-lck-2026-season-playoffs|will-team-m-win-the-lck-2026-season-playoffs|will-team-q-win-the-lck-2026-season-playoffs|will-team-u-win-the-lck-2026-season-playoffs|will-team-w-win-the-lck-2026-season-playoffs|will-other-win-the-lck-2026-season-playoffs|will-dplus-win-the-lck-2026-season-playoffs|will-fearx-win-the-lck-2026-season-playoffs|will-geng-esports-win-the-lck-2026-season-playoffs|will-hanwha-life-esports-win-the-lck-2026-season-playoffs|will-team-c-win-the-lck-2026-season-playoffs|will-team-h-win-the-lck-2026-season-playoffs|will-team-j-win-the-lck-2026-season-playoffs|will-team-o-win-the-lck-2026-season-playoffs|will-team-t-win-the-lck-2026-season-playoffs|will-team-y-win-the-lck-2026-season-playoffs|will-brion-win-the-lck-2026-season-playoffs|will-drx-win-the-lck-2026-season-playoffs|will-team-b-win-the-lck-2026-season-playoffs|will-team-g-win-the-lck-2026-season-playoffs|will-team-i-win-the-lck-2026-season-playoffs|will-team-l-win-the-lck-2026-season-playoffs|will-team-n-win-the-lck-2026-season-playoffs|will-team-r-win-the-lck-2026-season-playoffs|will-team-x-win-the-lck-2026-season-playoffs|will-team-z-win-the-lck-2026-season-playoffs,0x12e576af65661a45fba86fc4b40d10adb1fb8b5e2455f2c42593b96b9ae4911a|0x0765567c1dc4d166dd7b73e96811f130aa573402d808c10f5aae8e5b06dc2b7a|0x7b147310a79af60523698cf0bd2a91fbd18db3bd26aac843b25d6cd88788a3dc|0xfb258e83c8d7f916ef7d93bb0652120f1d196d0ab4c28d711839b512a82dae4e|0x8a80e3bd3cbb9a7b0f4acce6d4321229743ae5300585f235f8ed2359d30017dc|0x913c2f48c53c85d7dd2ba7d564b09a53b75a4126d4561af27d2f7dfd0dba6ee3|0xdbd500f4f089c98c44c08665b1df7504ff8d57f592bf60b4424cfa5ee13fca87|0xfb95c04393139808891dd7f8388409151c07188495a3342c510eb71afd85e074|0x0b6b3236a5e35ee0572258e01d9ee58fe6b87cc2ced463e4b25201d33fb52e2c|0x786541fe73e75ec8e1f80817e7952323e8f66c709c617bff29d9a5cd37a68ede|0xb6f7aa721704d2e262ead40914b1e88b1218a517a3d9338ffc255687699b16ce|0xc762473714b0d111b6e230c3c1e31ad351022e1caefa48459bb3acef9d458f64|0x2d5edc278ffe58613ec77be09b4e15417142b0778bce0975a47e7a45d54e8961|0x64c101b69160f82b1bf3aa17b3f733ad9cef28cb67aa0063d5c4b0b8de2f1e87|0x3b0c507ddc3c41dd7b24d75111ecd72242ed4e88317f8edcc3e2f2bde9cdeddf|0x182747d1a103b89029449c484cd9b0f5ecda169b6dc2b1c28ab1ce99eb1375f8|0xd9c191f25317d1f3fd23ecd05ba8b2d55828beabc28749bba76453b3ef2fd2c4|0x72a47cad9035adc8ef66ba62806227ff0b93cefb74f056293e556cb926972950|0x6fc292fdd467a810fa4ff6867dee8766d5bd04183b62819c23c7f849facc16ba|0x36668e37b463d0762bf6e4c053a44682f89fec1198ec07c279812067bb732604|0x77cf58896c74c5380af70c734e11eb5dd5daeaabc5da47ec000ae6880284bdb8|0x5adfe0d32eea50a863334afba0dc1b6d93516cb0f2ec9fb6eaa1a0578481f534|0xccfa35560b7c7400d377f8d8a67d5e9409032da0110cbed57091896e930d9e9e|0xcf6f4843ed105691644f0a417d9d8e463a5ac22a64fe563fcc6aa716a8c77dd2|0x79f38ea9ad3406e0e1c47f37a445149d58bc93b00a46822c28592e4cb373d9a0|0x7a2bcbba2116849fdb3103b74bbd7b4c791b5d73752605b2c1f510b834ec3d4b|0xea9d9bfd01745f5f4d40be8b45bf854ad36798917e69adef5c58f851bb10f379|0xd69e599bc966916fd20265b6bdc02b2eddba2bab01a109ae5ed7c18fb0c6ea69|0x8dbe91734d19e31796de94b4762e32cfb232102f2ad4fd66e713afd67a053193|0xcf34de71ad7b245a9ca27f289feb32b9f07f3558092449ada1735cb82ee24c62|0xe73afbbf175d2dad49b489fef614cf15577797da75982895426a1b6da44258b5|0x9c77095d510b8067f25d2919fbc41967ba2db079da4f004c20c991965bd7db52|0x3bd58cc13fbece288ddcc3028ec3cbd54bf23ea76030bfcb6759fa1fcf55854c|0x888ef62cd9116d25299207ad33f47bdcb2bd803bce7e8d543181c8e9294dd175|0x5acd98da6fffd886b5b3db956a321f2098fb47615e7090ed50e1668bb3d7f080|0xf306e574108b09d684591fa6956d2f4b3def516b1f792e617c0f118a6c225d72|0x8d4ed5941998b354482cfe462ae7463a53237d8ccf3e0bea79366c0eccc8c20d,"This market will resolve according to the winner of the League of Legends Champions Korea (LCK) 2026 season playoffs. If the 2026 LCK season is postponed after December 31, 2026 11:59 PM ET, canceled, or a winner has not been declared in this timeframe, this market will resolve to “Other”. If multip",https://polymarket.com/event/lol-lck-2026-season-winner
lol-lpl-2026-season-winner,LPL 2026 Season Winner,esports,league-of-legends|lol|esports,,-1,2025-11-20T23:36:40.732498Z,42,42,3169.49,793689.95,108144.22,39627.80,0.988,13,will-edward-gaming-win-the-lpl-2026-season|will-jd-gaming-win-the-lpl-2026-season|will-oh-my-god-win-the-lpl-2026-season|will-team-we-win-the-lpl-2026-season|will-weibo-gaming-win-the-lpl-2026-season|will-team-d-win-the-lpl-2026-season-598|will-team-f-win-the-lpl-2026-season-635|will-team-j-win-the-lpl-2026-season-216|will-team-l-win-the-lpl-2026-season-464|will-team-p-win-the-lpl-2026-season-232|will-team-r-win-the-lpl-2026-season-615|will-team-v-win-the-lpl-2026-season-246|will-team-x-win-the-lpl-2026-season-977|will-bilibili-gaming-win-the-lpl-2026-season|will-invictus-gaming-win-the-lpl-2026-season|will-ninjas-in-pyjamas-win-the-lpl-2026-season|will-royal-never-give-up-win-the-lpl-2026-season|will-ultra-prime-win-the-lpl-2026-season|will-another-team-win-the-lpl-2026-season|will-team-c-win-the-lpl-2026-season-841|will-team-e-win-the-lpl-2026-season-127|will-team-i-win-the-lpl-2026-season-487|will-team-k-win-the-lpl-2026-season-344|will-team-o-win-the-lpl-2026-season-598|will-team-t-win-the-lpl-2026-season-934|will-team-u-win-the-lpl-2026-season-283|will-team-z-win-the-lpl-2026-season-339|will-lgd-gaming-win-the-lpl-2026-season|will-thundertalk-gaming-win-the-lpl-2026-season|will-team-a-win-the-lpl-2026-season-528|will-team-g-win-the-lpl-2026-season-244|will-team-m-win-the-lpl-2026-season-815|will-team-s-win-the-lpl-2026-season-685|will-team-y-win-the-lpl-2026-season-576|will-anyones-legend-win-the-lpl-2026-season|will-lng-esports-win-the-lpl-2026-season|will-top-esports-win-the-lpl-2026-season|will-team-b-win-the-lpl-2026-season-756|will-team-h-win-the-lpl-2026-season-189|will-team-n-win-the-lpl-2026-season-868|will-team-q-win-the-lpl-2026-season-397|will-team-w-win-the-lpl-2026-season-443,0x775ddcb6005d898894c4c0b3e242a4aec86e36467471733c43d3df149676a392|0x91ba1b692a3e6c644aba6e4771b90faa99c7c2b6d3de2b9453ac8120d1e2a24e|0x212bc9c0c761fcbf576727270a6b83d3a6dfa4b1a6a4478a057aee7f9562e41f|0xc554d71978d7da8a1e03304248012966ae8ec0460c2aeb2e336d65f2c739b68d|0x62c966334dc09138236a82a967ad93bfa48b8e50207062c3deaa0aeda6959694|0x9a97c7d20f133e390a11db79e87eedcd72a23427ba25643b3ef770a277acc9b9|0x414f1a552b0d5e5f1ce094326f63334d574b2b7aff905c0e3cdbef8d24da0edc|0x8f6250dd55f494e31db3900cd1575ad572cd6abddd0f377bc8a6bc2491e4bde5|0x7458bfd66bbb7082920e3a6a2e0d9668dd87a19d3d02d4a9817a2be2bdaa66da|0x0918e704da389183f0d2afb9f3676e593a292c02d94f8a49737e07b3918e0e0e|0x552bdaf18f22718edafa65358df749eff0171d7a6fbd06affa62492bdc5bd046|0xfd8358db4efbf25c473ee4fba992477902330dceb516a898ea54394d7b350b87|0xb50ddd77b48c15b7d274b082cf17886510c653aefedff30fbbb88c35615e3f33|0x1c27970809d0ec4e22757cef8628026108f91712bd6318092b65767351957dc0|0x6cdb2ae7acfbf32ed69fd80e5e7990ef722ba5dfd89c3a786411d9a67ae3e099|0xec8fb9b81bf4caeb67e2fda96a75f1ed9b531e8e52f814485ced47b4d2900047|0xf0405b4f367103e51d236c4c797ae196b4797403fb1976b90379bac375eb1f7a|0x5f03bb886142aaac823069e0a4c9b7e0b78dc161b32fd49247097f9907afa8cc|0x34170b2776590998b3c337fb37b3d3d36797e6d6be24a846529ed20a44e014ec|0xaed3aeab100ddc36ac476c4a0acf2683a01c8d3c0109968d785076ce7e51d2d8|0x061e8a9cf4700cbfcccfe5f8e9e9156f20f23a5b1df45d0119eed474d3818895|0xc5e2383f93b5bbf07e679dc6a7aba79a68c5d391a4c7c1c9b36948ffb9b404d3|0x3771547d28335ecd859fe006b1a36eaf0757ba61d7aa9e436a967b2aaf7592f1|0xb629cfb0acc10709bea0e93855dc2bae8b3cf44d87f48f0f5d8b0ad590d8e145|0xa46749ed7aeddb3b3d529cdf56cbac7b2aaaf6d82abdf91d6a934a44acf771c1|0x1e271773b5e178d9e0e30a0a17f7a6e84e856c53569113a7e9c41d3e5549a460|0xf7af6236bf82eb0d59cc08ed7fc7cf1b5b25e9211406d1f87051a177751c262a|0x64b22b8865c7d4c835be2d3afb85e45697a3fa1550c9f774560dcc9ff3ba0fbb|0x30bdc3adef2cc15d9ea343c19a33190774b1383d22244cf94683311ff4b9267b|0xb37bd2a559c0cc06d04ce98add2e1fc1d97b806b85203489b41b6ea0de8de843|0x69956f8ccf41ff78706c84f10251da17ff79af6c29195e82543d9f024e7ae43a|0xd8eb70654fed113089ad5530f5ac07e2fe3898df5ae07285d0d08e43be4371f5|0xe01933fd633715e7d8da8413aeb3e75213c0afed911687c3ace1d122573d6964|0x334ed06aaf08a6c4f4d0b2d689ec2c911a1acce239dae0f752ce8d3bcddcefe8|0x6820102fd06a43ae0527539a25a4c97ba6e992bfd72912dc6b7bbbd383053669|0x5a3425d465edaa7dc84a85038dcb08e0a233b75522b26a5d6de8eab1c3f3d323|0xf7114df10fb4ec16e4cbd4de99e88d5e24185c2be25f0e9e191fb83984704bb7|0xcc4b4e8554b9938f87ba764c178338767013159ea87308d7b43b4d05e9689571|0xcf913956811b1cf76c09667c66b87188df295a79640d8091c64ebd28a56acfc6|0xb2393d7f713cbaafcd05185727bb15caa8b88ad16654910fc26f41cb3eab177b|0x8d2a13de3844d9bdfcbbe5b9926131991dac75d04d26354a61380accd74b3e67|0x10831f32185fb2e3fe955bf58675894f60df4c07f31821d2b8f9e3345dba2b6e,"This market will resolve according to the winner of the League of Legends Pro League (LPL) 2026 season. If the 2026 LPL season is postponed after December 31, 2026 11:59 PM ET, canceled, or a winner has not been declared in this timeframe, this market will resolve to “Other”. If multiple teams are d",https://polymarket.com/event/lol-lpl-2026-season-winner
