event_slug,title,category,tags,end_date,days_to_end,start_date,num_markets,open_markets,volume_24h,volume_total,liquidity,open_interest,competitive,comment_count,sub_market_slugs,condition_ids,description,polymarket_url
brand-risk-promotions-14-johnny-manziel-vs-bob-menery,Brand Risk Promotions 14: Johnny Manziel vs. Bob Menery,boxing,bob-menery|boxing|brandrisk|johnny-manziel,2026-05-26T00:00:00Z,5,2026-05-18T20:04:40.907472Z,1,1,1.10,1.10,244.96,1.10,0.665,0,brand-risk-promotions-14-johnny-manziel-vs-bob-menery,0x47e11e2ce73fd76de996ee2b818516907e1ca02344fe7121f754cc5295f00927,"This market will resolve to ""Manziel"" if Johnny Manziel is officially declared the winner of the fight against Bob Menery, at Brand Risk Promotions 14, scheduled for May 25, 2026 at Meta Apex in Las Vegas, Nevada. It will resolve to ""Menery"" if Bob Menery is officially declared the winner. If the fi",https://polymarket.com/event/brand-risk-promotions-14-johnny-manziel-vs-bob-menery
brand-risk-promotions-14-ray-j-vs-supah-hot-fire,Brand Risk Promotions 14: Ray J vs. Supah Hot Fire,boxing,boxing|brandrisk|supah-hot-fire|ray-j,2026-05-26T00:00:00Z,5,2026-05-18T20:08:32.556185Z,1,1,1.15,1.15,49.34,1.15,0.446,0,brand-risk-promotions-14-ray-j-vs-supah-hot-fire,0xf8fc006c228ed19f46076e84f4e711920dcab29abc6d7d2cae6abcfa863869fd,"This market will resolve to ""Ray J"" if Ray J is officially declared the winner of the fight against Supah Hot Fire, at Brand Risk Promotions 14, scheduled for May 25, 2026 at Meta Apex in Las Vegas, Nevada. It will resolve to ""Supah Hot"" if Supah Hot Fire is officially declared the winner. If the fi",https://polymarket.com/event/brand-risk-promotions-14-ray-j-vs-supah-hot-fire
floyd-mayweather-vs-manny-pacquiao-2,Floyd Mayweather vs. Manny Pacquiao 2,boxing,mayweather|floyd|pac|boxing|pacquiao|netflix,2026-09-20T00:00:00Z,122,2026-02-23T23:09:26.688801Z,1,1,129.02,63499.32,75295.29,47498.24,0.983,10,floyd-mayweather-vs-manny-pacquiao-2,0x699d6ea54f239dedf8ab3820504debeea93854f1f126c8e8d5c6c9d500cd25fa,"This market will resolve to ""Mayweather"" if Floyd Mayweather is officially declared the winner of the fight against Manny Pacquiao, scheduled for September 19, 2026 at the Sphere in Las Vegas, Nevada. It will resolve to ""Pacquiao"" if Manny Pacquiao is officially declared the winner. If the fight is ",https://polymarket.com/event/floyd-mayweather-vs-manny-pacquiao-2
